Date,Open,High,Low,Last,Close
05/05/2023,745.16,750.95,743.59,750.48,750.48
04/05/2023,744.52,744.82,735.91,741.22,741.22
03/05/2023,748.05,748.5,743.1,744.24,744.24
02/05/2023,758.74,759.91,743.55,744.31,744.31
28/04/2023,754.52,758.94,748.45,758.49,758.49
27/04/2023,747.18,752.65,746.4,752.6,752.6
26/04/2023,750.38,751.18,745.26,749.6,749.6
25/04/2023,758.19,758.47,754.45,755.45,755.45
24/04/2023,759.35,764.64,759.27,762.49,762.49
21/04/2023,760.54,763.4,758.65,762.19,762.19
20/04/2023,761.69,761.98,756.42,761.1,761.1
19/04/2023,759.99,761.16,757.25,760.22,760.22
18/04/2023,759.27,765.16,758.99,763.15,763.15
17/04/2023,761.18,763.36,758.28,758.5,758.5
14/04/2023,760.06,763.51,758.55,761.4,761.4
13/04/2023,758.35,761.02,757.02,760.57,760.57
12/04/2023,761.77,769.14,758.23,759.54,759.54
11/04/2023,764.75,765.76,762.57,763.32,763.32
06/04/2023,757.45,760.97,756.72,759.84,759.84
05/04/2023,756.86,757.88,753.27,755.76,755.76
04/04/2023,762.09,765.46,758.33,758.36,758.36
03/04/2023,758.91,761.27,757.33,758.41,758.41
31/03/2023,752.54,757.73,751.23,756.18,756.18
30/03/2023,747.9,753.67,747.9,752.46,752.46
29/03/2023,739.3,745.79,738.75,745.54,745.54
28/03/2023,740.72,741.85,731.72,733.81,733.81
27/03/2023,738.61,740.05,733.53,735.91,735.91
24/03/2023,742.03,742.03,727.93,731.81,731.81
23/03/2023,740.15,745.63,736.45,743.59,743.59
22/03/2023,737.28,744.7,736.09,741.8,741.8
21/03/2023,734.18,742.1,733.8,736.18,736.18
20/03/2023,718.14,732.24,710.89,729.05,729.05
17/03/2023,733.13,738.74,718.73,722.43,722.43
16/03/2023,726.24,729.1,711.81,727.06,727.06
15/03/2023,735.5,736.1,715.05,716.47,716.47
14/03/2023,728.74,739.41,724.88,737.52,737.52
13/03/2023,742.28,742.44,720.39,727.25,727.25
10/03/2023,742,747.53,737.54,743.03,743.03
09/03/2023,751.25,755.64,746.57,753.2,753.2
08/03/2023,748.6,754.2,748.48,753.35,753.35
07/03/2023,756.4,759.77,751.02,751.52,751.52
06/03/2023,763.16,763.41,757.74,759.83,759.83
03/03/2023,759.54,761.82,757.62,760.57,760.57
02/03/2023,745.71,755.17,743.9,755.17,755.17
01/03/2023,756.2,759.04,748.53,749.38,749.38
28/02/2023,754.18,758.33,751.24,752.93,752.93
27/02/2023,752.59,760.2,752.59,756.99,756.99
24/02/2023,759.3,759.79,746.41,746.41,746.41
23/02/2023,759.33,761.55,755.72,755.72,755.72
22/02/2023,755.77,758.32,751.51,756.63,756.63
21/02/2023,758.63,760.2,752.33,757.66,757.66
20/02/2023,765.63,765.97,761.09,762.63,762.63
17/02/2023,763.3,768.03,759.66,765.04,765.04
16/02/2023,773.94,777.58,766.62,771.69,771.69
15/02/2023,762.82,769.73,762.37,769.73,769.73
14/02/2023,764.21,770.8,761.21,762.97,762.97
13/02/2023,753.22,763.17,753.02,762.64,762.64
10/02/2023,752.47,756.01,747.76,752.22,752.22
09/02/2023,753.71,760.87,753.62,757.05,757.05
08/02/2023,756.41,756.99,748.4,748.4,748.4
07/02/2023,752.79,754.46,749.34,753.09,753.09
06/02/2023,758.71,759.02,749.58,752.4,752.4
03/02/2023,756.63,763.86,755.67,763.86,763.86
02/02/2023,751.89,762.09,751.86,758.61,758.61
01/02/2023,747.15,750.4,745.18,747.68,747.68
31/01/2023,742.16,745.82,736.75,745.19,745.19
30/01/2023,743.09,744.97,738.03,744.83,744.83
27/01/2023,749.31,751.99,747.07,750.67,750.67
26/01/2023,747.11,750.69,744.67,747.21,747.21
25/01/2023,744.62,745.56,735,741.34,741.34
24/01/2023,750.04,750.71,742.99,746.4,746.4
23/01/2023,741.04,749.15,740.43,747.87,747.87
20/01/2023,738.2,739.05,735.34,738.64,738.64
